event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX gets certified,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""licensed"", ""prepared"", ""ambitious"", ""smart"", ""intelligent"", ""hardworking""]","[""becomes proud"", ""is praised"", ""becomes able to perform a task"", ""receives job offers"", ""gets acknowledged"", ""gains knowledge""]","[""to have experience"", ""to be respected"", ""to sell something"", ""to be hired"", ""to be able to do the thing""]","[""to study"", ""to take test"", ""to take a course"", ""to pass an exam"", ""to practice."", ""to go to college.""]","[""proud"", ""resourceful"", ""productive"", ""accomplished"", ""proud"", ""good about themselves"", ""accomplished""]","[""to get a raise"", ""to make more money"", ""to use certification"", ""to be successful"", ""to get a better job."", ""to celebrate.""]","[""gets"", ""certified""]",trn
PersonX gets change,"[""none"", ""none"", ""TO BE GLAD"", ""TO ENHANCED"", ""NONE"", ""NONE""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""loaded"", ""well-to-do"", ""thrifty"", ""astute""]","[""none"", ""gets coins"", ""put coins in pocket"", ""TO HAVE HAPPY"", ""TO EMPIRE"", ""NONE"", ""NONE""]","[""money back"", ""none"", ""to have their money""]","[""none"", ""none""]","[""neutral"", ""rich"", ""satisfied""]","[""to count his money"", ""to spend his money"", ""to feed the meter"", ""to do laundry"", ""to put coins ina card for his grand child""]","[""gets"", ""change""]",dev
PersonX gets changed,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""confused"", ""sick"", ""self conscious"", ""prepared"", ""flexible"", ""introspective""]","[""gets different clothes on"", ""is ready for next activity"", ""body temperature rises"", ""complimented""]","[""to be better"", ""to wear different clothing""]","[""none"", ""clothes"", ""shoes"", ""to go in bed room"", ""take clothes out of closet""]","[""good"", ""fresh""]","[""to have makeover"", ""to try new clothes"", ""to leave"", ""go out"", ""to put dirty clothes in hamper"", ""take hamper to laundry room""]","[""gets"", ""changed""]",trn
PersonX gets checked out,"[""none"", ""they see them at home"", ""they ask about their trip"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""hopeful"", ""apprehensive"", ""uncomfortable"", ""diseased"", ""aware"", ""cautious""]","[""leaves"", ""walks away"", ""they go to the airport"", ""they get on the plane"", ""TO BE CORRECT"", ""TO BE BRAVE""]","[""none""]","[""get sick"", ""get injured"", ""none"", ""to drive to the store."", ""to choose some groceries.""]","[""annoyed""]","[""get admitted to hospital"", ""take medicine"", ""lie in bed"", ""go home"", ""leave the hospital"", ""go rest"", ""leave the hotel"", ""to drive home."", ""to put away her groceries.""]","[""gets"", ""checked""]",trn
PersonX gets chinese food,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""hungry"", ""famished"", ""starving"", ""malnourished""]","[""gets excited to eat"", ""gets full"", ""gets thirsty"", ""Person x eats food."", ""Person x carries Chinese food.""]","[""to eat"", ""food"", ""to eat something good"", ""to eat something""]","[""to go to a chinese restaurant"", ""to call a chinese place to order in"", ""find a restuarant"", ""place a order"", ""none""]","[""full"", ""happy"", ""satisfied"", ""full"", ""tired""]","[""to get some chopsticks"", ""to ask for more teriyaki sauce"", ""eat chinese food"", ""clean up"", ""to enjoy a meal"", ""to entertain others""]","[""gets"", ""chinese""]",trn
PersonX gets clean,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""cleanly"", ""hygienic"", ""tidy"", ""high self esteem"", ""healthy"", ""clean""]","[""washes"", ""uses water"", ""smiles"", ""stays awake""]","[""to be healthy"", ""to have a nice appearance"", ""to get off drugs"", ""to attend a party"", ""to be neat""]","[""Enter bathroom"", ""Take off clothes"", ""Turn on shower"", ""to wash their hands"", ""to take a shower"", ""to get in shower"", ""to lather up with soap and water""]","[""healthy"", ""refreshed"", ""stressed"", ""refreshed and cool"", ""good""]","[""Dry off"", ""Put on clothes"", ""to start fresh"", ""to put on clean clothes"", ""to scrub face and body"", ""to rinse soap off""]","[""gets"", ""clean""]",trn
PersonX gets close,"[""takes a step back"", ""thinks about running"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""punctual"", ""insistent"", ""available"", ""willing""]","[""gets hot"", ""heart starts to beat faster"", ""none"", ""learns how good they are at finishing"", ""has other people get jealous of them""]","[""to have a better look""]","[""none"", ""none"", ""to have a map"", ""to know where they are going"", ""to know where the end is""]","[""thankful""]","[""see the concert"", ""get an autograph"", ""to see what's there"", ""to finish the task"", ""to stop"", ""to rush""]","[""gets"", ""close""]",tst
PersonX gets close enough,"[""none"", ""none"", ""none""]","[""happy to be the object of x's affection"", ""none"", ""none""]","[""none"", ""to practice more themself"", ""to try to do it themself""]","[""Active"", ""Moving"", ""nearby"", ""approaching"", ""interested"", ""intrigued""]","[""to gets close enough"", ""to appeal on the screen"", ""learns a lot"", ""tried more next time"", ""becomes warm"", ""touches something""]","[""to examine something"", ""to kiss someone"", ""to get into or onto something"", ""to move near"", ""to be near""]","[""none"", ""to know what is needed"", ""to do their best at it""]","[""informed"", ""pleased"", ""more prepared"", ""neautral"", ""nan""]","[""to see what it is"", ""to examine it"", ""to practice more"", ""to do better next time""]","[""gets"", ""close""]",tst
PersonX gets close to PersonY,"[""jumps in horror"", ""gets relocated to other group"", ""PersonY cringes at the smell of personX's breath"", ""PersonY steps back from PersonX""]","[""n/a"", ""happy"", ""nervous"", ""surprised""]","[""to reciprocate the feelings"", ""to spend as much time with them as they can"", ""to avoid x"", ""to bond with x"", ""to marry X"", ""to spend time with X""]","[""warm"", ""friendly"", ""aroused"", ""sensual""]","[""punched"", ""screamed at"", ""PersonX is whispered at by PersonY"", ""PersonX blushes at happiness""]","[""to touch her"", ""to talk to person"", ""to show affection for person"", ""to protect person""]","[""to go on dates with PersonY"", ""to spend time with them"", ""none"", ""to be in relationship with Y"", ""to be getting photgraphed""]","[""satisfied"", ""happy"", ""nervous"", ""excited""]","[""to ask PersonY to get married"", ""to go on a vacation with them"", ""to tell y a secret"", ""to make a new friend"", ""to change his facebook profile picture"", ""to propose Y""]","[""gets"", ""close""]",tst
PersonX gets closer,"[""none"", ""none"", ""none""]","[""none""]","[""none""]","[""pushy"", ""near"", ""apprehensive"", ""cautious"", ""intrigued"", ""curious""]","[""they can see clearer"", ""become distracted while moving"", ""arrives"", ""takes a nap"", ""none""]","[""see"", ""learn"", ""hear""]","[""To plan a safe approach"", ""To show caution""]","[""good"", ""happy""]","[""To explore"", ""To find out what something is""]","[""gets"", ""closer""]",trn
PersonX gets closer and closer,"[""none"", ""They are closer to X"", ""They have less free space""]","[""none"", ""none""]","[""none""]","[""Sneaky"", ""Curious"", ""anxious"", ""nervous""]","[""Climaxes"", ""Meets their goal"", ""none""]","[""to hug or touch someone"", ""to eavesdrop the conversation""]","[""none""]","[""happy and excited"", ""like a stalker""]","[""to fight"", ""to meet""]","[""gets"", ""closer""]",trn
PersonX gets coffee,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""tired"", ""eager"", ""tired"", ""determined"", ""tired"", ""thirsty""]","[""is perked up"", ""gets hungry"", ""hands shake with jitters"", ""wakes up""]","[""to have some coffee"", ""to be less tired"", ""to be caffinated"", ""a hot drink""]","[""to have made an order"", ""to go to restaurant"", ""to make the coffee"", ""to have money for the coffee"", ""to go to the kitchen"", ""to go to a hotel""]","[""energized"", ""satisfied"", ""energetic"", ""energized""]","[""to drink coffee"", ""to order a toast"", ""to wake up a little bit"", ""to start their day"", ""to relish every sip"", ""to drink it""]","[""gets"", ""coffee""]",trn
PersonX gets cold,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""sick"", ""feeble"", ""semi-naked"", ""wet"", ""sensitive"", ""weak""]","[""is uncomfortable"", ""gets a jacket"", ""they put on warm clothes"", ""they start feeling warmer""]","[""none"", ""none"", ""none""]","[""play in the rain"", ""eat some icecream"", ""none""]","[""uncomfortable"", ""chilly"", ""frigid""]","[""get a blanket"", ""put the heater on"", ""to take medicine"", ""to see a doctor""]","[""gets"", ""cold""]",trn
PersonX gets cold feet,"[""They are jilted by X"", ""They convince X to continue"", ""none"", ""none""]","[""betrayed"", ""sad"", ""none""]","[""none""]","[""timid"", ""unsure"", ""nervous"", ""indecisive"", ""undependable"", ""weak""]","[""They pull out of a planned event"", ""They regret the choice for life"", ""They go through with the event"", ""Person x hesitates"", ""Person x avoids a task he should complete"", ""Person x exhibits signs of nervousness"", ""runs away"", ""takes a deep breath""]","[""none"", ""none""]","[""to put a sled in his car"", ""drive to a large hill"", ""slide down the hill and walk back up many times"", ""to be outside long enough for his feet to get cold""]","[""scared"", ""nervous"", ""cowardly"", ""feeling cold"", ""very sad""]","[""go home"", ""take off his boots and rub his feet"", ""sit in front of a fire with his feet out front"", ""put on warm socks""]","[""gets"", ""cold""]",trn
PersonX gets cold outside,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""sensitive"", ""unprepared"", ""weak"", ""uncomfortable"", ""weak"", ""unintelligent""]","[""starts to shiver"", ""wriggles toes"", ""body temperature drops"", ""starts to shiver"", ""shivers"", ""gets numb""]","[""none"", ""none"", ""none""]","[""none"", ""go outside"", ""live in a cold place"", ""to go for a walk."", ""to go shopping.""]","[""irritated"", ""deterred from staying outside"", ""cold"", ""freezing"", ""annoyed"", ""shiver""]","[""to cover up"", ""to put on a jacket"", ""put a coat on"", ""go inside"", ""to take a hot shower."", ""to drink some tea.""]","[""gets"", ""cold""]",trn
PersonX gets colder,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""thin-skinned"", ""naked"", ""hurt"", ""ill"", ""lazy"", ""non-energetic""]","[""gets blanket"", ""gets warm"", ""PersonX hands go numb"", ""Personx body temperature lowers"", ""shivers"", ""wants something warm to wear""]","[""none"", ""none""]","[""to be outside"", ""to be poorly clothed"", ""none"", ""He goes outside."", ""Can't open door.""]","[""bad"", ""like a warmer situation would be more ideal""]","[""to get warm"", ""to go inside"", ""to get a blanket"", ""to put on a coat"", ""to drink hot tea"", ""to turn on the heater"", ""He runs next door."", ""He goes inside his house.""]","[""gets"", ""colder""]",trn
PersonX gets comfortable,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""relaxed"", ""sleepy"", ""complacent"", ""serene"", ""at-home"", ""lazy"", ""tired""]","[""can sleep"", ""relieves pain"", ""none""]","[""to be relaxed."", ""to relax"", ""to get comfortable""]","[""to relax"", ""to finish stuff they had to do"", ""none""]","[""relaxed."", ""relaxed""]","[""to relax"", ""to go to sleep"", ""to not get up"", ""to stay there"", ""to relax"", ""watch a movie"", ""to relax and unwind"", ""to take a nap""]","[""gets"", ""comfortable""]",trn
PersonX gets compliments,"[""none"", ""is thanked"", ""receives a compliment in return""]","[""none"", ""none"", ""none""]","[""applaud"", ""approach PersonX"", ""to admire PersonX"", ""to part ways"", ""to spend time with PersonX"", ""none""]","[""popular"", ""trendy"", ""sure of themselves"", ""brave"", ""Talented"", ""Skilled"", ""Amazing"", ""Creative""]","[""smiles"", ""blushes"", ""smiles"", ""becomes confident""]","[""none"", ""none"", ""none""]","[""walk into public"", ""flaunt"", ""to dress nicely"", ""to do something good"", ""none""]","[""proud"", ""adored"", ""flattered"", ""good about themselves""]","[""say thank you"", ""pose"", ""to thank someone"", ""to converse with someone"", ""to part ways"", ""to show off"", ""to be seen as superior""]","[""gets"", ""compliments""]",trn
PersonX gets confused,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to repeat themselves"", ""to move on to the next thing"", ""none""]","[""disoriented"", ""dizzy"", ""clumsy"", ""unaware"", ""ditzy"", ""stupid""]","[""gets lost"", ""sleeps on the street"", ""forgets"", ""gets lost"", ""shakes head"", ""stutters"", ""squints""]","[""none"", ""none"", ""none""]","[""She answers a question."", ""Gets it wrong."", ""none"", ""none""]","[""confused"", ""confused"", ""annoyed they don't understand"", ""uncertain""]","[""Looks it up online."", ""Puts that answer in."", ""to ask them to repeat themselves"", ""to understand what they are saying"", ""to re-evaluate"", ""to solve the mystery""]","[""gets"", ""confused""]",trn
PersonX gets contact lenses,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""Popular"", ""Looker"", ""relieved"", ""encouraged"", ""blind"", ""visually impaired""]","[""gets improved vision"", ""gains confidence"", ""see things clearly"", ""cries in discomfort"", ""can read books"", ""can drive""]","[""to improve their vision"", ""to see clearly"", ""to avoid glasses"", ""to see"", ""to not wear glasses""]","[""to see a doctor"", ""to get their eyes checked"", ""to go the eye doctor"", ""get a prescription""]","[""excited to see in twenty/twenty vision"", ""satisfied about his looks"", ""good"", ""enhanced""]","[""to put contacts in eyes"", ""to look around"", ""to try them"", ""go home""]","[""gets"", ""contact""]",trn
